ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,Видимость в каталоге,Короткое описание,Описание,Дата начала действия продажной цены,Дата окончания действия продажной цены,Статус налога,Налоговый класс,В наличии?,Запасы,Задержанный заказ возможен?,Продано индивидуально?,Вес (kg),Длина (cm),Ширина (cm),Высота (cm),Разрешить отзывы от клиентов?,Примечание к покупке,Цена распродажи,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Число дней до просроченной загрузки,Родительский,Сгруппированные товары,Апсейл,Кросселы,Внешний URL,Текст кнопки,Позиция,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1
,simple,9440,Брит консервы мясное ассорти с птицей для кастратов  340 г,1,0,visible,,"Консервы Brit Premium Мясное ассорти с птицей — это полнорационное питание класса премиум для кастрированных котов и кошек. Состав продукта разработан с учетом послеоперационных изменений в организме животного, которые могут приводить к набору веса, что в свою очередь чрезмерно нагружает внутренние органы, суставы, мочевыводящую систему.

Состав кормаГовядина, фарш куриный, сердце, печень, субпродукты мясные, желирующая добавка, рыбная мука, рыбий жир, яичный порошок, таурин, растительное масло, злаки, йодированная соль, вода.",,,taxable,,1,,0,0,,,,,0,,,144,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/2660bd6edeebbac185d9daea5cced082.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9273,Брит консервы с говядиной и печенью 850 гр,1,0,visible,,"Полнорационный консервированный корм для собак с говядиной и говяжьей печенью.

Состав: говядина, печень говяжья, субпродукты мясные, морковь, желирующая добавка, растительное масло, злаки, соль, вода.
Пищевая ценность: сырой протеин не менее 10,5%, сырой жир не более 6,5%, сырая зола - не более 2,0%, влага не более 80,0%.
Минеральные вещества в 100 г: фосфор - не более 0,5 г; кальций - не более 0,6 г.
Пищевые добавки: витамин А 1500 МЕ/кг, витамин D3 150 МЕ/кг, витамин Е 15 мг/кг.",,,taxable,,1,,0,0,,,,,0,,,145,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/529d8434527fc05bf6e68fdde3e71139.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,1924,Брит консервы с говядиной и пшеном 850 гр ,1,0,visible,,"Полнорационный консервированный корм для активных собак, с говядиной и пшеном.

Состав: говядина, субпродукты мясные, крупа пшенная, растительное масло, желирующая добавка, соль, вода.
Пищевая ценность: сырой протеин, не менее 11%, сырой жир, не более 15%, углеводы 9%, массовая доля поваренной соли не более 1%, сырая зола, не более 2%, влага не более 80%.
Минеральные вещества в 100 г: фосфор не более 0,5%, кальций не более 0,6%.
Пищевые добавки: витамин А 1500 МЕ/кг, витамин D3 150 МЕ/кг, витамин Е 15 мг/кг.
Энергетическая ценность (100 г) – 215 ккал.",,,taxable,,1,,0,0,,,,,0,,,146,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/04a2ed0731577ca81e79d2e62c62e419.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9297,Брит консервы с говядиной и сердцем 850 гр,1,0,visible,,"Полнорационный консервированный корм для собак с говядиной и сердцем.

Состав:
Говядина, сердце говяжье, субпродукты мясные, морковь, желирующая добавка, растительное масло, злаки, соль, вода.

Пищевая ценность: сырой протеин не менее 10%, сырой жир не более 6,1%, сырая зола - не более 2,0%, влага не более 80,0%/

Минеральные вещества в 100 г: фосфор - не более 0,5 г; кальций - не более 0,6 г.

Пищевые добавки: витамин А 1500 МЕ/кг, витамин D3 150 МЕ/кг, витамин Е 15 мг/кг.",,,taxable,,1,,0,0,,,,,0,,,147,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/2bde81e6ffb58280ff17d58927bb9243.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9457,"Брит консервы с говядиной, 340 г",1,0,visible,,"Brit Premium – это высококачественный влажный кормИнгредиенты: говядина, субпродукты мясные, желирующая добавка, рыбная мука, рыбий жир, яичный порошок, таурин, растительное масло, злаки, йодированная соль, вода. Пищевая ценность 100 г. продукта: сырой протеин, не менее 10,0 г; сырой жир, не более 10,0 г; сырая зола, не более 2,0 г; массовая доля поваренной соли 0,3-0,5 г; таурин-0,2 г; влага, не более 82,0% Минеральные вещества в 100 г. продукта: общий фосфор, не более- 0,7 г; кальций, не более-0,5 г. Минеральные вещества в 100 г: кальций 4,5 мг, калий 166 мг, натрий 58,2 мг, магний 11,9 мг. Пищевые добавки в 100 г: витамин A — 0,4 мкг, витамин В1 — 0,2 мкг, витамин В2 — 0,6 мкг, витамин В4 — 125 мкг, витамин E — 0,3 мг, таурин — 2,5 мг.",,,taxable,,1,,0,0,,,,,0,,,148,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/129a64538ecab1bea057cb568a206738.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9402,"Брит консервы с индейкой, 340 г",1,0,visible,,"Высококачественный влажный корм для взрослых кошек. Консервы прекрасно дополняют сухие корма Брит Премиум, ведь консервы могут использоваться как самостоятельно, так и в сочетании с сухим кормом.

Ингредиенты:
мясо индейки, субпродукты мясные, желирующая добавка, рыбная мука, рыбий жир, яичный порошок, таурин, растительное масло, злаки, йодированная соль, вода.

Пищевая ценность 100 г. продукта:
сырой протеин, не менее 9,0 г; сырой жир, не более 12,0 г; сырая зола, не более 2,0 г; массовая доля поваренной соли 0,3-0,5 г; таурин 0,2 г; влага, не более 82,0%

Минеральные вещества в 100 г. продукта:
кальций 9,3 мг, калий 158 мг, натрий 55 мг, магний 12,9 мг.

Пищевые добавки в 100 г:
витамин В1 — 0,1 мкг, витамин В2 — 0,2 мкг, витамин В4 — 37.6 мкг, витамин E — 0,2 мг, таурин — 2,5 мг.",,,taxable,,1,,0,0,,,,,0,,,149,Кошки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/0dc757621b30063b00c97bc361ce7dac.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9303,Брит консервы с сердцем и печенью 850 гр,1,0,visible,,"Полнорационный консервированный корм для собак с сердцем и печенью.

Состав:
Сердце говяжье, печень говяжья, субпродукты мясные, морковь, желирующая добавка, растительное масло, злаки, соль, вода.

Пищевая ценность: сырой протеин не менее 10,6%, сырой жир не более 6,4%, сырая зола - не более 2,0%, влага не более 80,0%.

Минеральные вещества в 100 г: фосфор - не более 0,5 г; кальций - не более 0,6 г.

Пищевые добавки: витамин А 1500 МЕ/кг, витамин D3 150 МЕ/кг, витамин Е 15 мг/кг.",,,taxable,,1,,0,0,,,,,0,,,150,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/c1256d5e2363d1143ace5f0744cfe8d2.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,9280,Брит консервы сговядиной и рисом 850 гр,1,0,visible,,"Высокоэнергетическая мясная подкормка.Регулярное вскармливание является профилактикой заболеваний желудочно-кишечного тракта.Отличается хорошей поедаемостью, не содержит консервантов, красителей, сои и ГМО.Состав высокоэффективен для восстановления иммунной системы.Ингредиенты:Говядина и субпродукты из говядины (не менее 80%), морковь, злаки, рис, растительное масло, витамины и минералы.Гарантированный анализ:Протеин - не менее 8%;Жир - не менее 3.5%;Влага - не более 80%;Энергетическая ценность: 85 кКал.",,,taxable,,1,,0,0,,,,,0,,,151,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/52db73a480f95baf95c2871273dbc77b.jpg,,,,,,,,,1,Производитель,Brit,1,1
,simple,526468,"Брит Премиум by Nature Эдалт L, для взрослых собак крупных пород, 15 кг ",1,0,visible,,"Полнорационный сухой корм Brit Premium by Nature Adult L разработан для взрослых собак крупных пород (25–45 кг).

Содержание мяса курицы - 45%.


Хондропротекторы (из зеленых мидий и панцирей ракообразных) поддержат здоровье суставов собак, натуральные источники хондропротекторов усваиваются и действуют более эффективно, чем синтетические аналоги. 


Антиоксиданты (экстракты голубики, ромашки и фруктов (яблоки, цитрусовые) действуют на молекулярном уровне, препятствуя выработке свободных радикалов и развитию оксидативного стресса. 


Микроэлементы в виде органических соединений регулируют обмен веществ.


Использование злаков с различным гликемическим индексом (смесь круп пищевого качества риса, овса, кукурузы и пшеницы) создает чувство насыщения, позволяет поддерживать стабильный уровень глюкозы в крови.


Состав Brit Premium by Nature приближен к естественному питанию плотоядных.


СОСТАВ: курица 45 % (дегидрированная 25 %, мясо без костей 20 %), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, сушеное яблоко, рыбий жир из лосося (2 %), гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина, 210 мг/кг), хрящи (источник хондроитина, 150 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума,120 мг/кг), маннан-олигосахариды (120 мг/кг), фрукто-олигосахариды (90 мг/кг), мохаве юкка (90 мг/кг), сушеная ромашка (80 мг/кг), зеленые мидии (источник гликозаминогликанов, 50 мг/кг), голубика (50 мг/кг).

РЕКОМЕНДАЦИИ ПО КОРМЛЕНИЮ: корм можно давать сухим или слегка увлажненным водой комнатной температуры. Корм нужно давать 1 или 2 равными порциями в течение дня. Рекомендуемое ежедневное количество корма представлено в таблице рекомендаций по кормлению. Если Вы даете корм Brit Premium в первый раз, используйте меньшее количество нового корма и смешивайте его с привычным кормом, постепенно увеличивая порцию Brit Premium. Всегда следите за тем, чтобы у Вашего питомца было достаточно свежей питьевой воды.

АНАЛИТИЧЕСКИЙ СОСТАВ: сырой белок 27,0 %, содержание жира 14,0 %, влага 10,0 %, сырая зола 7,0 %, сырая клетчатка 2,0 %, кальций 1,5 %, фосфор 1,1 %, жирные кислоты омега-3 0,2 %, жирные кислоты омега-6 1,6 %.

ПИЩЕВЫЕ ДОБАВКИ НА 1 КГ: витамин А (3a672a) 15 000 ME, витамин D3 (E671) 1 000 ME, витамин E (α-токоферол) (3a700) 400 мг, биотин (3a880) 0,5 мг, холинхлорид (3a890) 500 мг, xелат цинка и аминокислот n-гидрат (3b606) 70 мг, xелат железа и аминокислот n-гидрат (E1) 60 мг, xелат марганца и аминокислот n-гидрат (E5) 30 мг, йодид калия (3b201) 0,5 мг, хелат меди и аминокислот n-гидрат (E4) 12 мг, oрганическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces cerevisiae CNCM I-3060 (3b8.10) 0,2 мг. Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат (1b304) и экстракт розмарина.

ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ: 3 770 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,152,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/48212ee0c94114b35b67f158ee6d9e4d.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,526376,"Брит Премиум by Nature Эдалт M для взрослых собак средних пород, 15 кг",1,0,visible,,"Содержание мяса курицы 45%.

Хондропротекторы, из зеленых мидий и панцирей ракообразных: важное значение имеет поддержка суставов собак, натуральные источники хондропротекторов усваиваются и действуют более эффективно, чем синтетические аналоги.


Антиоксиданты: экстракты голубики, ромашки и фруктов (яблоки, цитрусовые). Антиоксиданты действуют на молекулярном уровне – препятствуют выработке свободных радикалов и развитию оксидативного стресса.


Микроэлементы в виде органических соединений – оптимальное усвоение и поддержка обмена веществ.


Использование злаков с различным гликемическим индексом (смесь круп пищевого качества риса, овса, кукурузы и пшеницы) – создает чувство насыщения, позволяет поддерживать стабильный уровень глюкозы в крови.


Состав Brit Premium by Nature приближен к естественному питанию плотоядных.


Здоровая кожа и сияющая шерсть


Поддержка иммунитета и общего самочувствия


Способствует защите от стресса и поддерживает работу сердца


СОСТАВ: курица 45 % (дегидрированная 25 %, мясо без костей 20 %), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, сушеное яблоко, рыбий жир из лосося (2 %), гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина, 210 мг/кг), хрящи (источник хондроитина, 150 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума, 120 мг/кг), маннан-олигосахариды (120 мг/кг), фрукто-олигосахариды (90 мг/кг), мохаве юкка (90 мг/кг), сушеная ромашка (80 мг/кг), зеленые мидии (источник гликозаминогликанов, 50 мг/кг), голубика (50 мг/кг).
АНАЛИТИЧЕСКИЙ СОСТАВ: сырой белок 26,0 %, содержание жира 15,0 %, влага 10,0 %, сырая зола 7,0 %, сырая клетчатка 2,2 %, кальций 1,5 %, фосфор 1,1 %, жирные кислоты омега-3 0,2 %, жирные кислоты омега-6 1,7 %.
ПИЩЕВЫЕ ДОБАВКИ НА 1 КГ: витамин А (3a672a) 15 000 ME, витамин D3 (E671) 1 000 ME, витамин E (α-токоферол) (3a700) 400 мг, биотин (3a880) 0,5 мг, холинхлорид (3a890) 500 мг, xелат цинка и аминокислот n-гидрат (3b606) 70 мг, xелат железа и аминокислот n-гидрат (E1) 60 мг, xелат марганца и аминокислот n-гидрат (E5) 30 мг, йодид калия (3b201) 0,5 мг, хелат меди и аминокислот n-гидрат (E4) 12 мг, oрганическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces cerevisiae CNCM I-3060 (3b8.10) 0,2 мг. Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат (1b304) и экстракт розмарина.
ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ: 3 790 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,153,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/4e5473ccf9b122bb5ba6ca361dfcdbd7.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,532247,"Брит Премиум by Nature Эдалт XL для взрослых собак гигантских пород, 18 кг",1,0,visible,,"Состав: курица 48% (дегидрированная 28%, мясо без костей 20%), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, сушеноеяблоко, рыбий жир из лосося (2%), гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина,210 мг/кг), хрящи (источник хондроитина, 150 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума, , 120 мг/кг), маннан-олигосахариды(120 мг/кг), фрукто-олигосахариды (90 мг/кг), мохаве юкка (90 мг/кг), сушеная ромашка (80 мг/кг), зеленые мидии (источник гликозаминогликанов, 50мг/кг), голубика (50 мг/кг).
Аналитический состав: сырой белок 28,0%, содержание жира 16,0%, влага 10,0%, сырая зола 7,0%, сырая клетчатка 2,5%, кальций 1,5%, фосфор 1,1%,жирные кислоты омега-3 0,2%, жирные кислоты омега-6 1,8%.
Пищевые добавки на 1 кг: витамин А (3a672a) 15 000 ME, витамин D3 (E671) 1 000 ME, Витамин E (α-токоферол) (3a700) 400 мг, биотин (3a880) 0,5 мг,холинхлорид(3a890) 500 мг, xелат цинка и аминокислот n-гидрат (3b606) 70 мг, xелат железа и аминокислот n-гидрат (E1) 60 мг, xелат марганца иаминокислот n-гидрат (E5) 30 мг, йодид калия (3b201) 0,5 мг, хелат меди и аминокислот n-гидрат (E4) 12 мг, oрганическая форма селена, производноеот жизнедеятельности дрожжей Saccharomycescerevisiae CNCM I-3060 (3b8.10) 0,2 мг.Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат(1b304) и экстракт розмарина.
Энергетическая ценность: 3 830 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,154,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/44d48bd7cd7183070071e79b6dd76021.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,532186,"Брит Премиум by Nature Эдалт М для взрослых собак средних пород, 18 кг",1,0,visible,,"Содержание мяса курицы 45%.


Хондропротекторы, из зеленых мидий и панцирей ракообразных: важное значение имеет поддержка суставов собак, натуральные источники хондропротекторов усваиваются и действуют более эффективно, чем синтетические аналоги.


Антиоксиданты: экстракты голубики, ромашки и фруктов (яблоки, цитрусовые). Антиоксиданты действуют на молекулярном уровне – препятствуют выработке свободных радикалов и развитию оксидативного стресса.


Микроэлементы в виде органических соединений – оптимальное усвоение и поддержка обмена веществ.


Использование злаков с различным гликемическим индексом (смесь круп пищевого качества риса, овса, кукурузы и пшеницы) – создает чувство насыщения, позволяет поддерживать стабильный уровень глюкозы в крови.


Состав Brit Premium by Nature приближен к естественному питанию плотоядных.


Здоровая кожа и сияющая шерсть


Поддержка иммунитета и общего самочувствия


Способствует защите от стресса и поддерживает работу сердца


СОСТАВ: курица 45 % (дегидрированная 25 %, мясо без костей 20 %), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, сушеное яблоко, рыбий жир из лосося (2 %), гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина, 210 мг/кг), хрящи (источник хондроитина, 150 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума, 120 мг/кг), маннан-олигосахариды (120 мг/кг), фрукто-олигосахариды (90 мг/кг), мохаве юкка (90 мг/кг), сушеная ромашка (80 мг/кг), зеленые мидии (источник гликозаминогликанов, 50 мг/кг), голубика (50 мг/кг).
АНАЛИТИЧЕСКИЙ СОСТАВ: сырой белок 26,0 %, содержание жира 15,0 %, влага 10,0 %, сырая зола 7,0 %, сырая клетчатка 2,2 %, кальций 1,5 %, фосфор 1,1 %, жирные кислоты омега-3 0,2 %, жирные кислоты омега-6 1,7 %.
ПИЩЕВЫЕ ДОБАВКИ НА 1 КГ: витамин А (3a672a) 15 000 ME, витамин D3 (E671) 1 000 ME, витамин E (α-токоферол) (3a700) 400 мг, биотин (3a880) 0,5 мг, холинхлорид (3a890) 500 мг, xелат цинка и аминокислот n-гидрат (3b606) 70 мг, xелат железа и аминокислот n-гидрат (E1) 60 мг, xелат марганца и аминокислот n-гидрат (E5) 30 мг, йодид калия (3b201) 0,5 мг, хелат меди и аминокислот n-гидрат (E4) 12 мг, oрганическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces cerevisiae CNCM I-3060 (3b8.10) 0,2 мг. Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат (1b304) и экстракт розмарина.
ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ: 3 790 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,155,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/ce40ed7a6e9f25fd52cde8b42ffd4f4f.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,532179,"Брит Премиум by Nature Эдалт, L для взрослых собак крупных пород, 18 кг",1,0,visible,,"Полнорационный сухой корм Brit Premium by Nature Adult L разработан для взрослых собак крупных пород (25–45 кг).

Содержание мяса курицы - 45%.


Хондропротекторы (из зеленых мидий и панцирей ракообразных) поддержат здоровье суставов собак, натуральные источники хондропротекторов усваиваются и действуют более эффективно, чем синтетические аналоги. 


Антиоксиданты (экстракты голубики, ромашки и фруктов (яблоки, цитрусовые) действуют на молекулярном уровне, препятствуя выработке свободных радикалов и развитию оксидативного стресса. 


Микроэлементы в виде органических соединений регулируют обмен веществ.


Использование злаков с различным гликемическим индексом (смесь круп пищевого качества риса, овса, кукурузы и пшеницы) создает чувство насыщения, позволяет поддерживать стабильный уровень глюкозы в крови.


Состав Brit Premium by Nature приближен к естественному питанию плотоядных.


СОСТАВ: курица 45 % (дегидрированная 25 %, мясо без костей 20 %), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, сушеное яблоко, рыбий жир из лосося (2 %), гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина, 210 мг/кг), хрящи (источник хондроитина, 150 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума,120 мг/кг), маннан-олигосахариды (120 мг/кг), фрукто-олигосахариды (90 мг/кг), мохаве юкка (90 мг/кг), сушеная ромашка (80 мг/кг), зеленые мидии (источник гликозаминогликанов, 50 мг/кг), голубика (50 мг/кг).

РЕКОМЕНДАЦИИ ПО КОРМЛЕНИЮ: корм можно давать сухим или слегка увлажненным водой комнатной температуры. Корм нужно давать 1 или 2 равными порциями в течение дня. Рекомендуемое ежедневное количество корма представлено в таблице рекомендаций по кормлению. Если Вы даете корм Brit Premium в первый раз, используйте меньшее количество нового корма и смешивайте его с привычным кормом, постепенно увеличивая порцию Brit Premium. Всегда следите за тем, чтобы у Вашего питомца было достаточно свежей питьевой воды.

АНАЛИТИЧЕСКИЙ СОСТАВ: сырой белок 27,0 %, содержание жира 14,0 %, влага 10,0 %, сырая зола 7,0 %, сырая клетчатка 2,0 %, кальций 1,5 %, фосфор 1,1 %, жирные кислоты омега-3 0,2 %, жирные кислоты омега-6 1,6 %.

ПИЩЕВЫЕ ДОБАВКИ НА 1 КГ: витамин А (3a672a) 15 000 ME, витамин D3 (E671) 1 000 ME, витамин E (α-токоферол) (3a700) 400 мг, биотин (3a880) 0,5 мг, холинхлорид (3a890) 500 мг, xелат цинка и аминокислот n-гидрат (3b606) 70 мг, xелат железа и аминокислот n-гидрат (E1) 60 мг, xелат марганца и аминокислот n-гидрат (E5) 30 мг, йодид калия (3b201) 0,5 мг, хелат меди и аминокислот n-гидрат (E4) 12 мг, oрганическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces cerevisiae CNCM I-3060 (3b8.10) 0,2 мг. Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат (1b304) и экстракт розмарина.

ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ: 3 770 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,156,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/cf35d5e6103cea1ed757d7bbddcbff7e.png,,,,,,,,,1,Производитель,Brit,1,1
,simple,532193,"Брит Премиум by Nature Юниор L для молодых собак крупных пород, 18 кг",1,0,visible,,"Полнорационный сухой корм Brit Premium by Nature Junior L разработан для молодых собак (1–24 месяцев) крупных пород (25–45 кг).

Содержание мяса курицы - 45%.


Хондропротекторы (из зеленых мидий и панцирей ракообразных) поддерживают здоровье суставов собак, натуральные источники хондропротекторов усваиваются и действуют более эффективно, чем синтетические аналоги. 


Микроэлементы в виде органических соединений способствуют правильному обмену веществ.


Использование злаков с различным гликемическим индексом (смесь круп пищевого качества риса, овса, кукурузы и пшеницы) создает чувство насыщения, позволяет поддерживать стабильный уровень глюкозы в крови.


Состав Brit Premium by Nature приближен к естественному питанию плотоядных.

СОСТАВ: курица 45 % (дегидрированная 25 %, мясо без костей 20 %), овес, пшеница, куриный жир (консервирован токоферолами), кукуруза, рыбий жир из лосося (2 %), сушеное яблоко, гидролизованная куриная печень, пивные дрожжи, коллаген, панцири ракообразных (источник глюкозамина, 260 мг/кг), хрящи (источник хондроитина, 180 мг/кг), травы и фрукты (гвоздика, цитрусовые, розмарин, куркума, 150 мг/кг), маннан-олигосахариды (150 мг/кг), фрукто-олигосахариды (100 мг/кг), мохаве юкка (100 мг/кг), сушеная ромашка (90 мг/кг), зеленые мидии (источник гликозаминогликанов, 60 мг/кг), голубика (60 мг/кг).

РЕКОМЕНДАЦИИ ПО КОРМЛЕНИЮ: корм можно давать сухим или слегка увлажненным водой комнатной температуры. Для молодых собак рекомендованное ежедневное количество корма, указанное в таблице кормления, нужно разделить на 2-3 равные порции и давать в течение дня. Рекомендуемое ежедневное количество корма представлено в таблице рекомендаций по кормлению. Если Вы даете корм Brit Premium в первый раз, используйте меньшее количество нового корма и смешивайте его с привычным кормом, постепенно увеличивая порцию Brit Premium. Всегда следите за тем, чтобы у Вашего питомца было достаточно свежей питьевой воды.

АНАЛИТИЧЕСКИЙ СОСТАВ: сырой белок 28,0 %, содержание жира 16,0 %, влага 10,0 %, сырая зола 7,2 %, сырая клетчатка 2,0 %, кальций 1,5 %, фосфор 1,1 %, жирные кислоты омега-3 0,2 %, жирные кислоты омега-6 1,8 %.

ПИЩЕВЫЕ ДОБАВКИ НА 1 КГ: витамин А (3a672a) 20 000 ME, витамин D3 (E671) 1 200 ME, витамин E (α-токоферол) (3a700) 500 мг, биотин (3a880) 0,6 мг, холинхлорид (3a890) 600 мг, xелат цинка и аминокислот n-гидрат (3b606) 90 мг, xелат железа и аминокислот n-гидрат (E1) 80 мг, xелат марганца и аминокислот n-гидрат (E5) 35 мг, йодид калия (3b201) 0,65 мг, хелат меди и аминокислот n-гидрат (E4) 15 мг, oрганическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces cerevisiae CNCM I-3060 (3b8.10) 0,2 мг. Содержит одобренные ЕС антиоксиданты: экстракты токоферола из растительных масел (1b306), аскорбилпальмитат (1b304) и экстракт розмарина.

ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ: 3 850 ккал/кг.",,,taxable,,1,,0,0,,,,,0,,,157,Собаки > Корма,,,http://tintin.ru/wp-content/uploads/2018/brit/45e261a72d28e5109a5d49716755656b.png,,,,,,,,,1,Производитель,Brit,1,1
